year,month,month,quater,cases,population,rate/(10000)
2023,10,Chiang Kham,Q4,36,55163,6.526113518
2023,11,Chiang Kham,Q4,24,55190,4.348613879
2023,12,Chiang Kham,Q4,21,55129,3.809247402
2024,1,Chiang Kham,Q1,21,55109,3.810629843
2024,2,Chiang Kham,Q1,16,55100,2.903811252
2024,3,Chiang Kham,Q1,10,55133,1.81379573
2024,4,Chiang Kham,Q2,12,55152,2.175805048
2024,5,Chiang Kham,Q2,33,55175,5.980969642
2024,6,Chiang Kham,Q2,90,55132,16.32445767
2024,7,Chiang Kham,Q3,75,55067,13.61977228
2024,8,Chiang Kham,Q3,44,55020,7.997091967
2024,9,Chiang Kham,Q3,34,54978,6.184291899
2024,10,Chiang Kham,Q4,42,54978,7.639419404
2024,11,Chiang Kham,Q4,27,55021,4.907217244
2024,12,Chiang Kham,Q4,17,55000,3.090909091
2017,1,Chun,Q1,0,19088,0
2017,2,Chun,Q1,0,19072,0
2017,3,Chun,Q1,0,19019,0
2017,4,Chun,Q2,0,19002,0
2017,5,Chun,Q2,0,19047,0
2017,6,Chun,Q2,0,19185,0
2017,7,Chun,Q3,1,19193,0.52102329
2017,8,Chun,Q3,1,19173,0.521566787
2017,9,Chun,Q3,2,19151,1.044331889
2017,10,Chun,Q4,0,19145,0
2017,11,Chun,Q4,0,19139,0
2017,12,Chun,Q4,0,19134,0
2018,1,Chun,Q1,0,19127,0
2018,2,Chun,Q1,0,19135,0
2018,3,Chun,Q1,0,19096,0
2018,4,Chun,Q2,0,19042,0
2018,5,Chun,Q2,0,19008,0
2018,6,Chun,Q2,0,19042,0
2018,7,Chun,Q3,2,19083,1.048053241
2018,8,Chun,Q3,2,19067,1.048932711
2018,9,Chun,Q3,0,19074,0
2018,10,Chun,Q4,1,19060,0.524658972
2018,11,Chun,Q4,0,19050,0
2018,12,Chun,Q4,0,19041,0
2019,1,Chun,Q1,1,19058,0.524714031
2019,2,Chun,Q1,0,19043,0
2019,3,Chun,Q1,0,18994,0
2019,4,Chun,Q2,0,18958,0
2019,5,Chun,Q2,1,18897,0.529184527
2019,6,Chun,Q2,1,18889,0.529408651
2019,7,Chun,Q3,1,18867,0.530025971
2019,8,Chun,Q3,0,18897,0
2019,9,Chun,Q3,0,18894,0
2019,10,Chun,Q4,0,18876,0
2019,11,Chun,Q4,0,18889,0
2019,12,Chun,Q4,0,18867,0
2020,1,Chun,Q1,0,18877,0
2020,2,Chun,Q1,0,18845,0
2020,3,Chun,Q1,0,18817,0
2020,4,Chun,Q2,0,18807,0
2020,5,Chun,Q2,0,18774,0
2020,6,Chun,Q2,11,18736,5.871050384
2020,7,Chun,Q3,12,18797,6.383997446
2020,8,Chun,Q3,1,18412,0.54312405
2020,9,Chun,Q3,0,18395,0
2020,10,Chun,Q4,0,18395,0
2020,11,Chun,Q4,0,18408,0
2020,12,Chun,Q4,0,18391,0
2021,1,Chun,Q1,0,18365,0
2021,2,Chun,Q1,0,18342,0
2021,3,Chun,Q1,0,18316,0
2021,4,Chun,Q2,0,18261,0
2021,5,Chun,Q2,1,18220,0.54884742
2021,6,Chun,Q2,0,18189,0
2021,7,Chun,Q3,0,18159,0
2021,8,Chun,Q3,0,18145,0
2021,9,Chun,Q3,0,18233,0
2021,10,Chun,Q4,0,18222,0
2021,11,Chun,Q4,0,18212,0
2021,12,Chun,Q4,0,18177,0
2022,1,Chun,Q1,0,18157,0
2022,2,Chun,Q1,0,18126,0
2022,3,Chun,Q1,1,18081,0.553066755
2022,4,Chun,Q2,0,18055,0
2022,5,Chun,Q2,1,18013,0.555154611
2022,6,Chun,Q2,1,17983,0.556080743
2022,7,Chun,Q3,0,17978,0
2022,8,Chun,Q3,0,17954,0
2022,9,Chun,Q3,0,17946,0
2022,10,Chun,Q4,0,17918,0
2022,11,Chun,Q4,0,17890,0
2022,12,Chun,Q4,0,17880,0
2023,1,Chun,Q1,0,17876,0
2023,2,Chun,Q1,0,17840,0
2023,3,Chun,Q1,0,17751,0
2023,4,Chun,Q2,2,17727,1.128222485
2023,5,Chun,Q2,1,17681,0.56557887
2023,6,Chun,Q2,0,17690,0
2023,7,Chun,Q3,0,17705,0
2023,8,Chun,Q3,3,17741,1.690998253
2023,9,Chun,Q3,1,17743,0.563602547
2023,10,Chun,Q4,1,17702,0.56490792
2023,11,Chun,Q4,1,17695,0.565131393
2023,12,Chun,Q4,0,17688,0
2024,1,Chun,Q1,0,17672,0
2024,2,Chun,Q1,0,17620,0
2024,3,Chun,Q1,0,17562,0
2024,4,Chun,Q2,1,17539,0.570157934
2024,5,Chun,Q2,4,17596,2.273243919
2024,6,Chun,Q2,4,17676,2.26295542
2024,7,Chun,Q3,6,17653,3.398855719
2024,8,Chun,Q3,1,17645,0.566732785
2024,9,Chun,Q3,1,17622,0.567472478
2024,10,Chun,Q4,1,17585,0.568666477
2024,11,Chun,Q4,0,17566,0
2024,12,Chun,Q4,4,17560,2.277904328
